idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
WSG84;48.81084981739457;2.595169461739732,CRS3035RES1000mN2882000E3778000,CRS3035RES2000mN2882000E3778000,0,0,7737393051,109.5,38,2,5,4,37,5,2962132.9,3678,0,38,6,21,5,6,0,0,4,2,7.5,9,14,15,24,11,18,5,0
WSG84;48.81263843786454;2.5949018360463687,CRS3035RES1000mN2882000E3778000,CRS3035RES2000mN2882000E3778000,0,0,773739305177169,114,42,3,9,4,38,3,3122291.8,3319,2,40,5,19,11,7,0,0,5,5,8,7,6,26,21,11,21,4,0
WSG84;48.82192314158236;2.5716030310089644,CRS3035RES1000mN2884000E3776000,CRS3035RES1000mN2884000E3776000,0,0,9305194079,146,53,2,9,5,34,10,4239594.7,4959,18,35,1,37,8,7,0,14,4,2,12,18,16,26,33,24,6,4,1
WSG84;48.82210424377062;2.5743145353789143,CRS3035RES1000mN2884000E3776000,CRS3035RES1000mN2884000E3776000,0,0,93051,367.5,125,25,24,16,27,35,7476003.7,9123,92,33,1,97,16,11,0,88,29,12.5,33,50.5,28.5,64,92,27,27,4,0
WSG84;48.822285280085964;2.5770260577729847,CRS3035RES1000mN2884000E3776000,CRS3035RES1000mN2884000E3776000,0,0,93051,132.5,56,10,18,6,40,6,3350540.7,4273,16,40,0,21,14,21,0,0,9,0.5,4,9,13,33,17,26,8,13,0
WSG84;48.82246625052772;2.5797375981848685,CRS3035RES1000mN2884000E3777000,CRS3035RES1000mN2884000E3777000,0,0,93051,62,25,2,8,2,22,4,1466660.6,1859,0,25,0,24,0,1,0,0,3,2,8,6,3,7,13,7,8,5,0
WSG84;48.822647155095154;2.5824491566082672,CRS3035RES1000mN2884000E3777000,CRS3035RES1000mN2884000E3777000,1,0,93051,13,4.6,0.2,0.7,0.5,2.9,0.9,381731.9,435.8,0.8,3.8,0,1.5,1.5,1.6,0,0,0.2,0.7,0.8,1.5,0.9,1.4,3.6,1.9,1,1,0
WSG84;48.823892796339386;2.5740460647707546,CRS3035RES1000mN2884000E3776000,CRS3035RES1000mN2884000E3776000,0,0,93051,198,72,3,13,7,63,6,5747170.2,6934,5,67,2,42,20,8,0,0,13,2,11,19,16,36,37,21,31,12,0
WSG84;48.82407384016922;2.576757683493555,CRS3035RES1000mN2884000E3776000,CRS3035RES1000mN2884000E3776000,0,0,93051,193,66,0,8,5,56,2,5886848.5,6231,4,62,0,36,19,11,0,0,7,3.5,8,15.5,26,22,42,39,20,10,0
WSG84;48.82425481812279;2.5794693202366714,CRS3035RES1000mN2884000E3777000,CRS3035RES1000mN2884000E3777000,0,0,93051,159,59,0,14,5,54,4,4719876.3,5110,1,58,0,40,12,7,0,0,6.5,4,10.5,14,14,27,25,27,19,12,0
WSG84;48.824435730199376;2.582180974993795,CRS3035RES1000mN2884000E3777000,CRS3035RES1000mN2884000E3777000,1,0,93051,21,7.5,0.3,1.1,0.8,4.7,1.4,616643.8,704.1,1.4,6.1,0,2.5,2.5,2.5,0,0,0.3,1.1,1.4,2.5,1.4,2.2,5.8,3,1.6,1.7,0
WSG84;48.82497807116026;2.5903160472861595,CRS3035RES1000mN2884000E3777000,CRS3035RES1000mN2884000E3777000,1,0,9305177169,9,3.2,0.1,0.5,0.4,2,0.6,264275.9,301.7,0.6,2.6,0,1,1.1,1.1,0,0,0.1,0.5,0.6,1.1,0.6,0.9,2.5,1.3,0.7,0.7,0
