idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
WSG84;48.90309875171406;2.3563560622067268,CRS3035RES1000mN2894000E3761000,CRS3035RES1000mN2894000E3761000,0,0,93066,200.5,93,60,36,6,13,15,2375480.5,3007,92,1,88,0,0,2,3,0,8,9,14.5,12,11,63,47,17,16,3,0
WSG84;48.90328513637268;2.35907132247756,CRS3035RES1000mN2894000E3761000,CRS3035RES1000mN2894000E3761000,1,0,93066,52,19.8,9.9,9.1,4.1,6.6,1.7,796403,751.1,19.8,0,16.5,0,0,3.3,0,0,1.6,3.3,4.9,5.8,3.3,11.6,14.9,3.3,3.3,0,0
WSG84;48.904886614246486;2.356079040384507,CRS3035RES1000mN2894000E3761000,CRS3035RES1000mN2894000E3761000,0,0,93066,176.5,71,46,32,7,15,10,2021016.3,2328,69,2,71,0,0,0,0,2,18,7.5,18.5,19.5,7,45,35,13,12,1,0
WSG84;48.90507300665767;2.358794397248354,CRS3035RES1000mN2894000E3761000,CRS3035RES1000mN2894000E3761000,0,0,93066,550.5,190,49,58,35,61,24,9877873.2,10973,189,1,79,0,0,111,0,44,29,16.5,57,66.5,37.5,130,137,50,26,1,0
WSG84;48.905259333104866;2.36150977274087,CRS3035RES1000mN2894000E3762000,CRS3035RES1000mN2894000E3762000,0,0,93066,579,275,73,131,16,93,27,13393347.3,13993,274,1,0,0,0,258,17,81,39.5,25.5,37.5,27.5,62,240,99,22,21,5,0
WSG84;48.905445593587324;2.36422516685574,CRS3035RES1000mN2894000E3762000,CRS3035RES1000mN2894000E3762000,0,0,9306693001,594,208,26,60,31,56,18,14096954.9,13980,208,0,0,0,0,208,0,24,54,25.5,48.5,58,41,199,130,24,13,1,0
WSG84;48.9066744745448;2.3558019933091305,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,337,147,43,58,12,68,18,7459929.4,7380,127,20,84,0,0,62,1,18,17,8.5,28.5,22,16,100,84,32,14,15,0
WSG84;48.90686087470928;2.3585174467745875,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,1323.5,464,126,136,81,125,66,25726359.2,28301,457,7,70,1,1,392,0,186,88.5,50.5,115.5,168,80,358,267,102,87,7,0
WSG84;48.907047208907095;2.3612329188713024,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,93066,642.5,258,48,78,15,127,19,15311474.9,15484,251,7,33,0,0,225,0,0,54,23,42,43.5,18,247,133,54,24,4,0
WSG84;48.90723347713752;2.3639484095929513,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,9306693001,788.5,309,60,90,40,103,47,18024151.2,19868,309,0,0,0,0,309,0,0,78,26,75.5,68,32,272,171,41,22,3,0
WSG84;48.90846233260929;2.3555249209773192,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,74,36,15,14,0,10,4,1271301.8,1179,36,0,22,0,0,14,0,14,2,1,2,4,3,16,16,10,17,3,0
