siren,dateCreationEtablissement,denominationUniteLegale,isOnePerson,X,Y
038898532,1900-01-01,SYNDICAT DE COPRO BERNARD PALISSY,False,48.923797578,2.3679809536
300556685,1900-01-01,,True,48.906059887,2.3580301264
300960754,1900-01-01,SAINT GOBAIN RECHERCHE,False,48.915350484,2.3647528732
302037361,1900-01-01,,True,48.923632471,2.368732171
302303862,1900-01-01,,True,48.915263824,2.3662193671
306439662,1900-01-01,,True,48.915263824,2.3662193671
307885608,1900-01-01,,True,48.923338906,2.3679238861
308276724,1900-01-01,AIT.MALEK.RACHID.ET.MALEK.NAFI,False,48.917645203,2.3663950439
309168102,1900-01-01,,True,48.916469549,2.366514424
312439227,1900-01-01,,True,48.916469549,2.366514424
313932642,1900-01-01,LADOUALI ET BESIN,False,48.917645203,2.3663950439
317533792,1900-01-01,,True,48.916469549,2.366514424
319045399,1900-01-01,,True,48.923433641,2.3677438259
319051983,1900-01-01,CARROSSERIE DU CLOS SAINT-QUENTIN,False,48.923433641,2.3677438259
319404166,1900-01-01,ETS HELAINE ET ALVAREZ,False,48.924270633,2.3688390636
320459746,1900-01-01,BEN ALIMENTATION,False,48.924301763,2.3682272994
322767666,1900-01-01,,True,48.917808089,2.3664162577
326212941,1900-01-01,,True,48.924174679,2.3684123945
328996822,1900-01-01,,True,48.923848728,2.3684036593
329723688,1900-01-01,,True,48.923982301,2.3675392784
331950444,1900-01-01,,True,48.916331161,2.3580862642
332329812,1900-01-01,,True,48.915962749,2.3664209858
337752075,1900-01-01,,True,48.916469549,2.366514424
337871875,1900-01-01,,True,48.923797578,2.3679809536
337871990,1900-01-01,SCDF MONTEIRO MANUEL ET DA SILVA MANUEL,False,48.923797578,2.3679809536
342162997,1900-01-01,,True,48.924174679,2.3684123945
343144473,1900-01-01,,True,48.937766282,2.3700403718
344680509,1900-01-01,,True,48.923094992,2.3677656815
351169941,1900-01-01,SOCIETE DE MENUISERIE BARRES,False,48.917317976,2.3665195151
351199245,1900-01-01,SOCIETE DE MENUISERIE BARRES,False,48.917317976,2.3665195151
378071997,1900-01-01,,True,48.940945167,2.3743184397
379085863,1900-01-01,,True,48.942787544,2.3799822771
379440787,1900-01-01,,True,48.923580036,2.3671456804
380012955,1900-01-01,,True,48.924301763,2.3682272994
380983148,1900-01-01,,True,48.917645203,2.3663950439
387883804,1900-01-01,,True,48.941696642,2.3763271032
394677793,1900-01-01,CREATION KYRILL,False,48.92347376,2.3685984472
399182294,1900-01-01,,True,48.923185441,2.3676936195
415338292,1900-01-01,,True,48.924313818,2.3681258921
541006011,1900-01-01,,True,48.916163068,2.3662084157
551033541,1900-01-01,,True,48.917062311,2.3661974639
572048726,1900-01-01,CELTIC AUTOS,False,48.903012148,2.3602877231
588204560,1900-01-01,VITOPRESS,False,48.93787013,2.351007048
592038483,1900-01-01,USIMETO S A R L,False,48.923394449,2.3685315851
631032182,1900-01-01,,True,48.917062311,2.3661974639
641127915,1900-01-01,,True,48.915263824,2.3662193671
702009713,1900-01-01,SERRURERIE ET FERRONNERIE DIONYSIENNE,False,48.927300164,2.3650416586
785466657,1900-01-01,,True,48.923064089,2.3683345784
785467036,1900-01-01,,True,48.923433641,2.3677438259
803128842,1900-01-01,MONEY TIME,False,48.908541508,2.3624713886
318733110,1900-01-01,SALONS FRANCIA,False,48.941623162,2.3726719604
320347800,1900-01-01,,True,48.928802556,2.3756081849
340955632,1900-01-01,,True,48.932837576,2.3663396826
382788362,1900-01-01,,True,48.927250135,2.3716385218
